Asset Type,AMC Name,Category,Sub-Category,Scheme Name,Inception Date,Fund Manager
Equity,Axis MF,Equity Linked Savings Scheme,ELSS,Axis Long Term Equity Fund(G)-Direct Plan,1-Jan-13,Jinesh Gopani
Equity,Axis MF,Focused Fund,Focused Fund,Axis Focused 25 Fund(G)-Direct Plan,1-Jan-13,Jinesh Gopani
Equity,Axis MF,Index Funds,Index Funds - Other,Axis Nifty 100 Index Fund(G)-Direct Plan,18-Oct-19,Ashish Naik
Equity,Axis MF,Market Cap Fund,Large & Mid Cap,Axis Growth Opp Fund(G)-Direct Plan,22-Oct-18,Jinesh Gopani
Equity,Axis MF,Market Cap Fund,Large Cap Fund,Axis Bluechip Fund(G)-Direct Plan,1-Jan-13,Shreyash Devalkar
Equity,Axis MF,Market Cap Fund,Mid Cap Fund,Axis Midcap Fund(G)-Direct Plan,1-Jan-13,Shreyash Devalkar
Equity,Axis MF,Market Cap Fund,Multi Cap Fund,Axis Multicap Fund(G)-Direct Plan,17-Nov-17,Shreyash Devalkar
Equity,Axis MF,Market Cap Fund,Small cap Fund,Axis Small Cap Fund(G)-Direct Plan,29-Nov-13,Anupam Tiwari
Equity,Axis MF,Thematic Fund,,Axis ESG Equity Fund(G)-Direct Plan,12-Feb-20,Jinesh Gopani
Equity,Axis MF,Thematic Fund,,Axis Special Situations Fund(G)-Direct Plan,,Ashish Naik
Equity,HDFC MF,Dividend Yield,,HDFC Dividend Yield Fund(G)-Direct Plan,,Gopal Agrawal
Equity,HDFC MF,Equity Linked Savings Scheme,ELSS,HDFC Long Term Adv Fund(G)-Direct Plan,31-Dec-12,Chirag Setalvad
Equity,HDFC MF,Equity Linked Savings Scheme,ELSS,HDFC TaxSaver(G)-Direct Plan,31-Dec-12,Amit Ganatra
Equity,HDFC MF,Focused Fund,Focused Fund,HDFC Focused 30 Fund(G)-Direct Plan,31-Dec-12,Gopal Agrawal
Equity,HDFC MF,Index Funds,Index - Nifty,HDFC Index Fund-NIFTY 50 Plan(G)-Direct Plan,31-Dec-12,Krishan Daga
Equity,HDFC MF,Index Funds,Index - Sensex,HDFC Index Fund-Sensex(G)-Direct Plan,31-Dec-12,Krishan Daga
Equity,HDFC MF,Market Cap Fund,Large & Mid Cap,HDFC Growth Opp Fund(G)-Direct Plan,1-Jan-13,Gopal Agrawal
Equity,HDFC MF,Market Cap Fund,Large Cap Fund,HDFC Top 100 Fund(G)-Direct Plan,31-Dec-12,Prashant Jain
Equity,HDFC MF,Market Cap Fund,Mid Cap Fund,HDFC Mid-Cap Opportunities Fund(G)-Direct Plan,31-Dec-12,Chirag Setalvad
Equity,HDFC MF,Market Cap Fund,Multi Cap Fund,HDFC Equity Fund(G)-Direct Plan,31-Dec-12,Prashant Jain
Equity,HDFC MF,Market Cap Fund,Small cap Fund,HDFC Small Cap Fund(G)-Direct Plan,1-Jan-13,Chirag Setalvad
Equity,HDFC MF,Sector Funds,Infrastructure ,HDFC Infrastructure Fund(G)-Direct Plan,31-Dec-12,Rakesh Vyas
Equity,HDFC MF,Value Fund,,HDFC Capital Builder Value Fund(G)-Direct Plan,31-Dec-12,Amit Ganatra
Equity,ICICI Pru MF,Dividend Yield,,ICICI Pru Dividend Yield Equity Fund(G)-Direct Plan,16-May-14,Mrinal Singh
Equity,ICICI Pru MF,Equity Linked Savings Scheme,ELSS,ICICI Pru LT Equity Fund (Tax Saving)(G)-Direct Plan,1-Jan-13,Harish Bihani
Equity,ICICI Pru MF,Focused Fund,Focused Fund,ICICI Pru Focused Equity Fund(G)-Direct Plan,9-Jan-13,Mrinal Singh
Equity,ICICI Pru MF,Index Funds,Index - Nifty,ICICI Pru Nifty Index Fund(G)-Direct Plan,1-Jan-13,Kayzad Eghlim
Equity,ICICI Pru MF,Index Funds,Index - Nifty Next 50,ICICI Pru Nifty Next 50 Index Fund(G)-Direct Plan,1-Jan-13,Kayzad Eghlim
Equity,ICICI Pru MF,Index Funds,Index - Sensex,ICICI Pru Sensex Index Fund(G)-Direct Plan,21-Sep-17,Kayzad Eghlim
Equity,ICICI Pru MF,Market Cap Fund,Large & Mid Cap,ICICI Pru Large & Mid Cap Fund(G)-Direct Plan,1-Jan-13,Sankaran Naren
Equity,ICICI Pru MF,Market Cap Fund,Large Cap Fund,ICICI Pru Bluechip Fund(G)-Direct Plan,1-Jan-13,Anish Tawakley
Equity,ICICI Pru MF,Market Cap Fund,Mid Cap Fund,ICICI Pru Midcap Fund(G)-Direct Plan,1-Jan-13,Prakash Gaurav Goel
Equity,ICICI Pru MF,Market Cap Fund,Multi Cap Fund,ICICI Pru Multicap Fund(G)-Direct Plan,1-Jan-13,Sankaran Naren
Equity,ICICI Pru MF,Market Cap Fund,Small cap Fund,ICICI Pru Smallcap Fund(G)-Direct Plan,2-Jan-13,Sankaran Naren
Equity,ICICI Pru MF,Sector Funds,Banks & Financial Services,ICICI Pru Banking & Fin Serv Fund(G)-Direct Plan,1-Jan-13,Roshan Chutkey
Equity,ICICI Pru MF,Sector Funds,Consumption,ICICI Pru Bharat Consumption Fund(G)-Direct Plan,12-Apr-19,Dharmesh Kakkad
Equity,ICICI Pru MF,Sector Funds,Consumption,ICICI Pru FMCG Fund(G)-Direct Plan,1-Jan-13,Ihab Dalwai
Equity,ICICI Pru MF,Sector Funds,Infrastructure ,ICICI Pru Infrastructure Fund(G)-Direct Plan,1-Jan-13,Sankaran Naren
Equity,ICICI Pru MF,Sector Funds,Pharma & Health Care,ICICI Pru Pharma Healthcare & Diagnostics (P.H.D) Fund-(G)-Direct Plan,13-Jul-18,Dharmesh Kakkad
Equity,ICICI Pru MF,Sector Funds,Service Industry,ICICI Pru Exports & Services Fund(G)-Direct Plan,7-Jan-13,Sankaran Naren
Equity,ICICI Pru MF,Sector Funds,Technology,ICICI Pru Technology Fund(G)-Direct Plan,1-Jan-13,Sankaran Naren
Equity,ICICI Pru MF,Thematic Fund,,ICICI Pru Commodities Fund(G)-Direct Plan,15-Oct-19,Sankaran Naren
Equity,ICICI Pru MF,Thematic Fund,,ICICI Pru ESG Fund(G)-Direct Plan,9-Oct-20,Mrinal Singh
Equity,ICICI Pru MF,Thematic Fund,,ICICI Pru India Opp Fund(G)-Direct Plan,15-Jan-19,Sankaran Naren
Equity,ICICI Pru MF,Thematic Fund,,ICICI Pru Manufacture in India Fund(G)-Direct Plan,11-Oct-18,Anish Tawakley
Equity,ICICI Pru MF,Thematic Fund,,ICICI Pru Quant Fund(G)-Direct Plan,11-Dec-20,Roshan Chutkey
Equity,ICICI Pru MF,Thematic Fund,Global,ICICI Pru US Bluechip Equity Fund(G)-Direct Plan,2-Jan-13,Rohan Maru
Equity,ICICI Pru MF,Thematic Fund,MNC,ICICI Pru MNC Fund(G)-Direct Plan,17-Jun-19,Anish Tawakley
Equity,ICICI Pru MF,Value Fund,Value Fund,ICICI Pru Value Discovery Fund(G)-Direct Plan,1-Jan-13,Mrinal Singh
Equity,Mirae MF,Equity Linked Savings Scheme,ELSS,Mirae Asset Tax Saver Fund(G)-Direct Plan,28-Dec-15,Neelesh Surana
Equity,Mirae MF,Focused Fund,Focused Fund,Mirae Asset Focused Fund(G)-Direct Plan,14-May-19,Gaurav Misra
Equity,Mirae MF,Market Cap Fund,Large & Mid Cap,Mirae Asset Emerging Bluechip(G)-Direct Plan,1-Jan-13,Neelesh Surana
Equity,Mirae MF,Market Cap Fund,Large Cap Fund,Mirae Asset Large Cap Fund(G)-Direct Plan,1-Jan-13,Gaurav Misra
Equity,Mirae MF,Market Cap Fund,Mid Cap Fund,Mirae Asset Midcap Fund(G)-Direct Plan,29-Jul-19,Ankit Jain
