Scheme Name,NAV Date,Adjusted NAV
Axis Bluechip Fund(G)-Direct Plan,02-Dec-2019,34.2400
Axis Bluechip Fund(G)-Direct Plan,03-Dec-2019,34.2400
Axis Bluechip Fund(G)-Direct Plan,04-Dec-2019,34.3300
Axis Bluechip Fund(G)-Direct Plan,05-Dec-2019,34.3100
Axis Bluechip Fund(G)-Direct Plan,06-Dec-2019,34.1600
Axis Bluechip Fund(G)-Direct Plan,09-Dec-2019,34.1500
Axis Bluechip Fund(G)-Direct Plan,10-Dec-2019,34.0600
Axis Bluechip Fund(G)-Direct Plan,11-Dec-2019,34.2200
Axis Bluechip Fund(G)-Direct Plan,12-Dec-2019,34.3600
Axis Bluechip Fund(G)-Direct Plan,13-Dec-2019,34.4900
Axis Bluechip Fund(G)-Direct Plan,16-Dec-2019,34.4100
Axis Bluechip Fund(G)-Direct Plan,17-Dec-2019,34.7500
Axis Bluechip Fund(G)-Direct Plan,18-Dec-2019,34.9200
Axis Bluechip Fund(G)-Direct Plan,19-Dec-2019,35.0500
Axis Bluechip Fund(G)-Direct Plan,20-Dec-2019,35.0700
Axis Bluechip Fund(G)-Direct Plan,23-Dec-2019,35.0600
Axis Bluechip Fund(G)-Direct Plan,24-Dec-2019,34.9400
Axis Bluechip Fund(G)-Direct Plan,26-Dec-2019,34.8300
Axis Bluechip Fund(G)-Direct Plan,27-Dec-2019,35.0600
Axis Bluechip Fund(G)-Direct Plan,30-Dec-2019,35.0100
Axis Bluechip Fund(G)-Direct Plan,31-Dec-2019,34.7800
Axis Bluechip Fund(G)-Direct Plan,01-Jan-2020,34.7600
Axis Bluechip Fund(G)-Direct Plan,02-Jan-2020,34.8800
Axis Bluechip Fund(G)-Direct Plan,03-Jan-2020,34.7400
Axis Bluechip Fund(G)-Direct Plan,06-Jan-2020,34.1600
Axis Bluechip Fund(G)-Direct Plan,07-Jan-2020,34.3100
Axis Bluechip Fund(G)-Direct Plan,08-Jan-2020,34.3100
Axis Bluechip Fund(G)-Direct Plan,09-Jan-2020,34.7800
Axis Bluechip Fund(G)-Direct Plan,10-Jan-2020,34.9000
Axis Bluechip Fund(G)-Direct Plan,13-Jan-2020,35.1200
Axis Bluechip Fund(G)-Direct Plan,14-Jan-2020,35.2300
Axis Bluechip Fund(G)-Direct Plan,15-Jan-2020,35.2300
Axis Bluechip Fund(G)-Direct Plan,16-Jan-2020,35.3700
Axis Bluechip Fund(G)-Direct Plan,17-Jan-2020,35.4600
Axis Bluechip Fund(G)-Direct Plan,20-Jan-2020,35.0700
Axis Bluechip Fund(G)-Direct Plan,21-Jan-2020,34.9100
Axis Bluechip Fund(G)-Direct Plan,22-Jan-2020,34.7500
Axis Bluechip Fund(G)-Direct Plan,23-Jan-2020,34.9000
Axis Bluechip Fund(G)-Direct Plan,24-Jan-2020,35.1600
Axis Bluechip Fund(G)-Direct Plan,27-Jan-2020,34.9100
Axis Bluechip Fund(G)-Direct Plan,28-Jan-2020,34.8100
Axis Bluechip Fund(G)-Direct Plan,29-Jan-2020,35.1200
Axis Bluechip Fund(G)-Direct Plan,30-Jan-2020,34.9900
Axis Bluechip Fund(G)-Direct Plan,31-Jan-2020,35.0200
Axis Bluechip Fund(G)-Direct Plan,03-Feb-2020,34.8300
Axis Bluechip Fund(G)-Direct Plan,04-Feb-2020,35.5200
Axis Bluechip Fund(G)-Direct Plan,05-Feb-2020,35.7400
Axis Bluechip Fund(G)-Direct Plan,06-Feb-2020,35.8600
Axis Bluechip Fund(G)-Direct Plan,07-Feb-2020,35.7900
Axis Bluechip Fund(G)-Direct Plan,10-Feb-2020,36.0200
Axis Bluechip Fund(G)-Direct Plan,11-Feb-2020,36.1300
Axis Bluechip Fund(G)-Direct Plan,12-Feb-2020,36.5400
Axis Bluechip Fund(G)-Direct Plan,13-Feb-2020,36.5200
Axis Bluechip Fund(G)-Direct Plan,14-Feb-2020,36.3200
Axis Bluechip Fund(G)-Direct Plan,17-Feb-2020,36.1800
Axis Bluechip Fund(G)-Direct Plan,18-Feb-2020,36.0800
Axis Bluechip Fund(G)-Direct Plan,19-Feb-2020,36.4800
Axis Bluechip Fund(G)-Direct Plan,20-Feb-2020,36.3400
Axis Bluechip Fund(G)-Direct Plan,24-Feb-2020,35.7700
Axis Bluechip Fund(G)-Direct Plan,25-Feb-2020,35.7300
Axis Bluechip Fund(G)-Direct Plan,26-Feb-2020,35.5300
Axis Bluechip Fund(G)-Direct Plan,27-Feb-2020,35.4500
Axis Bluechip Fund(G)-Direct Plan,28-Feb-2020,34.4400
Axis Bluechip Fund(G)-Direct Plan,02-Mar-2020,34.2700
Axis Bluechip Fund(G)-Direct Plan,03-Mar-2020,34.6100
Axis Bluechip Fund(G)-Direct Plan,04-Mar-2020,34.4300
Axis Bluechip Fund(G)-Direct Plan,05-Mar-2020,34.6500
Axis Bluechip Fund(G)-Direct Plan,06-Mar-2020,34.1700
Axis Bluechip Fund(G)-Direct Plan,09-Mar-2020,33.0500
Axis Bluechip Fund(G)-Direct Plan,11-Mar-2020,33.1000
Axis Bluechip Fund(G)-Direct Plan,12-Mar-2020,31.2100
Axis Bluechip Fund(G)-Direct Plan,13-Mar-2020,31.9700
Axis Bluechip Fund(G)-Direct Plan,16-Mar-2020,30.2300
Axis Bluechip Fund(G)-Direct Plan,17-Mar-2020,29.5700
Axis Bluechip Fund(G)-Direct Plan,18-Mar-2020,27.9400
Axis Bluechip Fund(G)-Direct Plan,19-Mar-2020,27.3600
Axis Bluechip Fund(G)-Direct Plan,20-Mar-2020,28.5900
Axis Bluechip Fund(G)-Direct Plan,23-Mar-2020,25.5400
Axis Bluechip Fund(G)-Direct Plan,24-Mar-2020,26.2300
Axis Bluechip Fund(G)-Direct Plan,25-Mar-2020,27.6500
Axis Bluechip Fund(G)-Direct Plan,26-Mar-2020,28.7000
Axis Bluechip Fund(G)-Direct Plan,27-Mar-2020,28.5900
Axis Bluechip Fund(G)-Direct Plan,30-Mar-2020,27.6300
Axis Bluechip Fund(G)-Direct Plan,31-Mar-2020,28.3000
Axis Bluechip Fund(G)-Direct Plan,01-Apr-2020,27.2900
Axis Bluechip Fund(G)-Direct Plan,03-Apr-2020,26.6800
Axis Bluechip Fund(G)-Direct Plan,07-Apr-2020,28.5300
Axis Bluechip Fund(G)-Direct Plan,08-Apr-2020,28.5100
Axis Bluechip Fund(G)-Direct Plan,09-Apr-2020,29.5100
Axis Bluechip Fund(G)-Direct Plan,13-Apr-2020,29.0100
Axis Bluechip Fund(G)-Direct Plan,15-Apr-2020,28.7800
